,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
SRI,6.33E-14,0.3108457,0.699,0.761,1.42E-09,2,SRI
UBXN4,3.29E-13,0.3026004,0.642,0.704,7.35E-09,2,UBXN4
HM13,3.56E-13,0.2515049,0.606,0.622,7.98E-09,2,HM13
NUCB2,4.05E-13,0.2685274,0.431,0.374,9.07E-09,2,NUCB2
LAMP2,7.42E-13,0.2777556,0.425,0.387,1.66E-08,2,LAMP2
PFDN1,1.29E-12,0.2748498,0.597,0.624,2.88E-08,2,PFDN1
CYB5R3,1.31E-12,0.2646316,0.623,0.669,2.92E-08,2,CYB5R3
SBDS,1.46E-12,0.2728103,0.59,0.584,3.26E-08,2,SBDS
ATRX,1.53E-12,0.255321,0.601,0.637,3.44E-08,2,ATRX
AKR1A1,1.71E-12,0.2769279,0.603,0.624,3.83E-08,2,AKR1A1
ATRAID,3.94E-12,0.2612872,0.652,0.718,8.81E-08,2,ATRAID
CORO1B,5.94E-12,0.2621543,0.586,0.609,1.33E-07,2,CORO1B
PET100,8.71E-12,0.2586219,0.688,0.752,1.95E-07,2,PET100
LMAN2,1.07E-11,0.2702539,0.651,0.702,2.38E-07,2,LMAN2
ARL16,1.38E-11,0.2565885,0.595,0.615,3.09E-07,2,ARL16
CCDC90B,1.66E-11,0.2574952,0.578,0.597,3.72E-07,2,CCDC90B
TPGS2,1.77E-11,0.2619649,0.631,0.701,3.96E-07,2,TPGS2
TMBIM4,1.88E-11,0.2992173,0.593,0.626,4.21E-07,2,TMBIM4
MAP1LC3B,3.12E-11,0.2745132,0.644,0.69,6.99E-07,2,MAP1LC3B
TRMT10C,4.97E-11,0.2842274,0.543,0.542,1.11E-06,2,TRMT10C
CHMP3,2.98E-10,0.2555079,0.574,0.598,6.68E-06,2,CHMP3
KLF2,8.37E-10,0.364513,0.209,0.154,1.87E-05,2,KLF2
TRIAP1,9.12E-10,0.2504736,0.568,0.594,2.04E-05,2,TRIAP1
GTF2I,5.18E-09,0.2655353,0.617,0.664,1.16E-04,2,GTF2I
RTL8C,5.79E-08,0.254553,0.536,0.549,1.30E-03,2,RTL8C
SLC25A37,0.00E+00,2.4437036,0.998,0.697,0.00E+00,3,SLC25A37
HBZ,0.00E+00,2.3488787,1,0.847,0.00E+00,3,HBZ
ALAS2,0.00E+00,1.992002,0.998,0.424,0.00E+00,3,ALAS2
HBA2,0.00E+00,1.9852801,1,0.841,0.00E+00,3,HBA2
SLC4A1,0.00E+00,1.7440402,0.85,0.104,0.00E+00,3,SLC4A1
GYPA,0.00E+00,1.729078,0.983,0.183,0.00E+00,3,GYPA
HBA11,0.00E+00,1.720694,1,0.856,0.00E+00,3,HBA1
GYPB,0.00E+00,1.6786532,0.999,0.544,0.00E+00,3,GYPB
HBE1,0.00E+00,1.6057864,1,0.863,0.00E+00,3,HBE1
HBM,0.00E+00,1.5679105,0.932,0.25,0.00E+00,3,HBM
BLVRB,0.00E+00,1.5518384,0.999,0.712,0.00E+00,3,BLVRB
HBG21,0.00E+00,1.4370252,1,0.858,0.00E+00,3,HBG2
PRDX2,0.00E+00,1.3753815,0.997,0.803,0.00E+00,3,PRDX2
KLF1,0.00E+00,1.234813,0.994,0.391,0.00E+00,3,KLF1
HMBS,0.00E+00,1.2269112,0.897,0.379,0.00E+00,3,HMBS
SLC25A39,0.00E+00,1.1813501,0.975,0.665,0.00E+00,3,SLC25A39
HBG11,0.00E+00,1.1647234,0.946,0.343,0.00E+00,3,HBG1
TMEM14C,0.00E+00,1.0444864,0.999,0.831,0.00E+00,3,TMEM14C
FECH,0.00E+00,1.0286697,0.963,0.319,0.00E+00,3,FECH
AHSP,0.00E+00,1.0273684,0.62,0.067,0.00E+00,3,AHSP
TFRC,0.00E+00,1.0224757,0.958,0.45,0.00E+00,3,TFRC
GYPC,0.00E+00,1.0042171,0.991,0.744,0.00E+00,3,GYPC
FAM210B,0.00E+00,0.9318976,0.977,0.508,0.00E+00,3,FAM210B
LMO2,0.00E+00,0.9285833,0.964,0.534,0.00E+00,3,LMO2
MYL41,0.00E+00,0.8287605,0.999,0.697,0.00E+00,3,MYL4
TMEM56,0.00E+00,0.8072086,0.834,0.073,0.00E+00,3,TMEM56
SMIM11,0.00E+00,0.7670334,0.989,0.575,0.00E+00,3,SMIM1
GYPE1,0.00E+00,0.7440201,0.95,0.329,0.00E+00,3,GYPE
SELENBP1,0.00E+00,0.7272443,0.891,0.28,0.00E+00,3,SELENBP1
AC073349.1,0.00E+00,0.7201876,0.624,0.066,0.00E+00,3,AC073349.1
CPOX,0.00E+00,0.6877462,0.938,0.45,0.00E+00,3,CPOX
PKLR,0.00E+00,0.6740789,0.802,0.041,0.00E+00,3,PKLR
RAB3IP,0.00E+00,0.6629527,0.81,0.253,0.00E+00,3,RAB3IP
ANK1,0.00E+00,0.5750676,0.821,0.159,0.00E+00,3,ANK1
SLC38A5,0.00E+00,0.5503734,0.787,0.116,0.00E+00,3,SLC38A5
AC104389.4,0.00E+00,0.5473142,0.801,0.108,0.00E+00,3,AC104389.4
SLC39A8,0.00E+00,0.5344349,0.709,0.196,0.00E+00,3,SLC39A8
REEP6,0.00E+00,0.495117,0.704,0.136,0.00E+00,3,REEP6
ALAD,0.00E+00,0.4591947,0.766,0.204,0.00E+00,3,ALAD
ASIC4,0.00E+00,0.452946,0.716,0.198,0.00E+00,3,ASIC4
GATA5,0.00E+00,0.4131845,0.679,0.113,0.00E+00,3,GATA5
ERMAP,0.00E+00,0.4051484,0.679,0.122,0.00E+00,3,ERMAP
ESPN,0.00E+00,0.3879747,0.402,0.017,0.00E+00,3,ESPN
DES,0.00E+00,0.3835775,0.604,0.099,0.00E+00,3,DES
ABCB10,0.00E+00,0.3810196,0.669,0.168,0.00E+00,3,ABCB10
RGCC,0.00E+00,0.3403796,0.593,0.1,0.00E+00,3,RGCC
ELL2,0.00E+00,0.3160885,0.673,0.175,0.00E+00,3,ELL2
RHD,0.00E+00,0.3075411,0.378,0.035,0.00E+00,3,RHD
RFESD,0.00E+00,0.2863155,0.477,0.059,0.00E+00,3,RFESD
C17orf99,0.00E+00,0.2824429,0.316,0.006,0.00E+00,3,C17orf99
NFASC,0.00E+00,0.262028,0.391,0.017,0.00E+00,3,NFASC
PHOSPHO1,0.00E+00,0.2518899,0.336,0.013,0.00E+00,3,PHOSPHO1
HDHD3,9.37E-307,0.4156473,0.772,0.259,2.10E-302,3,HDHD3
SLC2A1,4.86E-306,0.442845,0.823,0.294,1.09E-301,3,SLC2A1
CHST2,5.14E-300,0.4998561,0.808,0.276,1.15E-295,3,CHST2
BSG,9.76E-300,0.6920712,0.997,0.821,2.18E-295,3,BSG
CCT2,2.53E-299,0.8735367,0.988,0.811,5.66E-295,3,CCT2
EPOR,4.08E-288,0.5125021,0.841,0.347,9.12E-284,3,EPOR
TSPAN131,5.42E-284,0.4417588,0.86,0.359,1.21E-279,3,TSPAN13
GLRX5,2.65E-262,0.6592572,0.982,0.758,5.93E-258,3,GLRX5
3-Mar,1.34E-253,0.3460006,0.621,0.182,3.01E-249,3,3-Mar
TMEM14B,3.04E-252,0.5921978,0.99,0.799,6.81E-248,3,TMEM14B
FKBPL,2.64E-250,0.2963,0.566,0.15,5.90E-246,3,FKBPL
CAT,4.25E-249,0.4675473,0.823,0.362,9.51E-245,3,CAT
NT5DC2,9.12E-245,0.5477575,0.951,0.602,2.04E-240,3,NT5DC2
ASCL2,2.47E-243,0.4290385,0.43,0.086,5.52E-239,3,ASCL2
ICAM4,9.05E-243,0.4948225,0.894,0.445,2.02E-238,3,ICAM4
HEMGN,3.92E-240,0.7584657,0.547,0.149,8.78E-236,3,HEMGN
LXN1,2.79E-233,0.6406193,0.831,0.393,6.24E-229,3,LXN
HBQ11,4.65E-232,0.3745819,0.938,0.384,1.04E-227,3,HBQ1
UCP21,3.69E-231,0.5022798,0.94,0.506,8.25E-227,3,UCP2
BPGM,6.69E-227,0.3406428,0.661,0.236,1.50E-222,3,BPGM
APOC1,2.45E-223,0.6180738,0.848,0.384,5.49E-219,3,APOC1
MGST31,4.66E-215,0.5606425,0.99,0.848,1.04E-210,3,MGST3
PCGF5,1.42E-212,0.4014576,0.768,0.345,3.19E-208,3,PCGF5
TESC1,5.64E-210,0.4998248,0.978,0.602,1.26E-205,3,TESC
NUDT4,2.62E-205,0.4292837,0.82,0.416,5.87E-201,3,NUDT4
PPT2,2.82E-201,0.2539181,0.528,0.153,6.30E-197,3,PPT2
STRADB,8.24E-199,0.3161205,0.718,0.302,1.84E-194,3,STRADB
RCL1,1.86E-197,0.2540333,0.664,0.245,4.17E-193,3,RCL1
UROS,2.24E-194,0.4797019,0.97,0.714,5.01E-190,3,UROS
PPOX,1.29E-193,0.2571704,0.579,0.193,2.89E-189,3,PPOX
UROD1,1.37E-193,0.4792435,0.984,0.752,3.06E-189,3,UROD
FOXO3,2.39E-191,0.3542615,0.769,0.351,5.34E-187,3,FOXO3
GDF15,1.65E-188,0.367461,0.414,0.094,3.70E-184,3,GDF15
MYC,6.80E-188,0.4581429,0.834,0.396,1.52E-183,3,MYC
NARF,1.44E-180,0.6811197,0.881,0.588,3.22E-176,3,NARF
DHFR,1.07E-177,0.4980207,0.857,0.536,2.39E-173,3,DHFR
GATA11,1.85E-174,0.3755263,0.961,0.477,4.15E-170,3,GATA1
EIF2AK1,2.00E-168,0.3263377,0.874,0.512,4.47E-164,3,EIF2AK1
ARID3A,3.62E-166,0.4094314,0.962,0.69,8.10E-162,3,ARID3A
HLTF,5.58E-165,0.2587307,0.678,0.296,1.25E-160,3,HLTF
HSF1,2.27E-163,0.3468261,0.92,0.602,5.08E-159,3,HSF1
BTG11,2.72E-154,0.4135752,0.945,0.649,6.09E-150,3,BTG1
ST3GAL2,1.84E-152,0.2632104,0.741,0.366,4.11E-148,3,ST3GAL2
RHOBTB3,2.66E-151,0.3917744,0.854,0.518,5.95E-147,3,RHOBTB3
HK1,4.87E-151,0.2982551,0.904,0.542,1.09E-146,3,HK1
NFE21,8.70E-150,0.3353793,0.956,0.56,1.95E-145,3,NFE2
RHAG1,1.22E-147,0.2602297,0.809,0.352,2.73E-143,3,RHAG
GAS2L1,6.43E-147,0.2724579,0.703,0.328,1.44E-142,3,GAS2L1
PKDCC,1.19E-144,0.2652128,0.559,0.206,2.66E-140,3,PKDCC
UBAC1,1.65E-142,0.2984568,0.857,0.515,3.70E-138,3,UBAC1
APOBEC3C1,8.08E-142,0.3142198,0.9,0.531,1.81E-137,3,APOBEC3C
FAM213A,1.31E-141,0.401218,0.939,0.655,2.92E-137,3,FAM213A
CRYM,3.16E-140,0.2742989,0.42,0.124,7.08E-136,3,CRYM
RAD23A1,4.91E-134,0.3292724,0.955,0.727,1.10E-129,3,RAD23A
HIST1H1C,9.09E-134,0.792129,0.767,0.446,2.04E-129,3,HIST1H1C
COX7A2L,1.62E-132,0.373402,0.978,0.798,3.63E-128,3,COX7A2L
FTH11,1.46E-131,0.3127309,1,0.99,3.26E-127,3,FTH1
RSRP1,1.11E-130,0.463957,0.87,0.582,2.49E-126,3,RSRP1
BNIP3L,1.82E-128,0.3600075,0.913,0.635,4.08E-124,3,BNIP3L
MRPL14,5.10E-128,0.3148876,0.979,0.786,1.14E-123,3,MRPL14
ADA,1.14E-124,0.3923079,0.691,0.38,2.55E-120,3,ADA
CDC27,3.97E-123,0.2596638,0.759,0.442,8.87E-119,3,CDC27
MACO1,1.94E-116,0.2737821,0.643,0.326,4.33E-112,3,MACO1
C20orf27,6.18E-113,0.2944117,0.847,0.528,1.38E-108,3,C20orf27
GABPB1.AS1,9.02E-113,0.3661863,0.878,0.581,2.02E-108,3,GABPB1.AS1
CDT1,3.27E-112,0.3151251,0.764,0.436,7.31E-108,3,CDT1
NUSAP11,1.60E-110,0.3180245,0.711,0.376,3.59E-106,3,NUSAP1
CXXC5,8.61E-110,0.2811145,0.889,0.592,1.93E-105,3,CXXC5
LARP1,9.95E-108,0.2997589,0.933,0.669,2.23E-103,3,LARP1
EPB41,5.56E-107,0.2823467,0.798,0.495,1.24E-102,3,EPB41
FTL,6.38E-106,0.2961875,1,0.994,1.43E-101,3,FTL
CHCHD3,1.91E-105,0.2548763,0.887,0.615,4.27E-101,3,CHCHD3
TOR3A,1.83E-99,0.2704667,0.502,0.224,4.10E-95,3,TOR3A
FBL1,2.77E-99,0.288525,0.969,0.758,6.20E-95,3,FBL
PA2G41,4.25E-94,0.251362,0.986,0.815,9.52E-90,3,PA2G4
MPC2,9.53E-89,0.3409074,0.93,0.711,2.13E-84,3,MPC2
ANP32B1,8.03E-85,0.2737903,0.998,0.885,1.80E-80,3,ANP32B
GLUL,1.39E-79,0.2633738,0.96,0.732,3.12E-75,3,GLUL
JUNB,2.06E-74,0.3014217,0.816,0.546,4.61E-70,3,JUNB
HIST1H4C1,2.63E-60,0.5013655,0.935,0.778,5.88E-56,3,HIST1H4C
HMGB21,8.53E-60,0.3006522,0.965,0.815,1.91E-55,3,HMGB2
HMGA12,4.38E-55,0.2797257,0.996,0.909,9.80E-51,3,HMGA1
HBB,1.13E-53,0.4061967,0.194,0.061,2.53E-49,3,HBB
H1F0,1.37E-49,0.2836803,0.73,0.518,3.07E-45,3,H1F0
DDIT4,4.11E-35,0.3579384,0.313,0.166,9.21E-31,3,DDIT4
RNASE12,1.70E-30,0.2833908,0.509,0.338,3.80E-26,3,RNASE1
MT1X,1.27E-19,0.2724936,0.496,0.361,2.83E-15,3,MT1X
MT2A,2.45E-17,0.4212017,0.881,0.739,5.49E-13,3,MT2A
PF41,0.00E+00,2.3812722,0.999,0.838,0.00E+00,4,PF4
LIMS11,0.00E+00,1.6291593,0.999,0.74,0.00E+00,4,LIMS1
THBS11,0.00E+00,1.5090094,0.953,0.378,0.00E+00,4,THBS1
PLEK1,0.00E+00,1.4444057,0.994,0.478,0.00E+00,4,PLEK
RAP1B1,0.00E+00,1.4105172,1,0.862,0.00E+00,4,RAP1B
GP91,0.00E+00,1.4060811,0.96,0.338,0.00E+00,4,GP9
NEXN,0.00E+00,1.4024607,0.923,0.295,0.00E+00,4,NEXN
LGALSL1,0.00E+00,1.3913848,0.808,0.212,0.00E+00,4,LGALSL
TMSB4X1,0.00E+00,1.3817949,1,0.997,0.00E+00,4,TMSB4X
CMTM51,0.00E+00,1.3656044,0.988,0.388,0.00E+00,4,CMTM5
ACRBP1,0.00E+00,1.353525,0.865,0.303,0.00E+00,4,ACRBP
NEAT1,0.00E+00,1.302392,0.987,0.798,0.00E+00,4,NEAT1
CAVIN21,0.00E+00,1.2973279,0.959,0.389,0.00E+00,4,CAVIN2
CXCL31,0.00E+00,1.269088,0.943,0.322,0.00E+00,4,CXCL3
ITGA2B1,0.00E+00,1.2370857,0.975,0.391,0.00E+00,4,ITGA2B
DGKI1,0.00E+00,1.223634,0.899,0.194,0.00E+00,4,DGKI
CLEC1B1,0.00E+00,1.2130767,0.77,0.212,0.00E+00,4,CLEC1B
PRKAR2B1,0.00E+00,1.2122654,0.987,0.551,0.00E+00,4,PRKAR2B
VCL,0.00E+00,1.2068691,0.966,0.499,0.00E+00,4,VCL
MAX1,0.00E+00,1.2045493,0.985,0.617,0.00E+00,4,MAX
TLN11,0.00E+00,1.1884139,0.994,0.76,0.00E+00,4,TLN1
LTBP11,0.00E+00,1.1598492,0.963,0.415,0.00E+00,4,LTBP1
SNCA1,0.00E+00,1.1580087,0.997,0.704,0.00E+00,4,SNCA
NRGN1,0.00E+00,1.1535181,0.902,0.411,0.00E+00,4,NRGN
TUBB11,0.00E+00,1.1435032,0.957,0.312,0.00E+00,4,TUBB1
RAB27B1,0.00E+00,1.1335729,0.971,0.349,0.00E+00,4,RAB27B
FERMT31,0.00E+00,1.1309963,0.994,0.532,0.00E+00,4,FERMT3
FYB11,0.00E+00,1.0918366,0.884,0.302,0.00E+00,4,FYB1
MMRN1,0.00E+00,1.0917218,0.918,0.298,0.00E+00,4,MMRN1
FCER1G1,0.00E+00,1.0844114,0.975,0.525,0.00E+00,4,FCER1G
ARHGAP61,0.00E+00,1.0802622,0.967,0.322,0.00E+00,4,ARHGAP6
SH3BGRL31,0.00E+00,1.0762308,0.998,0.928,0.00E+00,4,SH3BGRL3
SELP,0.00E+00,1.065727,0.909,0.296,0.00E+00,4,SELP
MYLK1,0.00E+00,1.059141,0.957,0.301,0.00E+00,4,MYLK
CMIP1,0.00E+00,1.0470831,0.956,0.496,0.00E+00,4,CMIP
MEF2C1,0.00E+00,1.0467356,0.975,0.525,0.00E+00,4,MEF2C
RGS101,0.00E+00,1.042656,0.995,0.784,0.00E+00,4,RGS10
GRAP2,0.00E+00,1.0370884,0.745,0.2,0.00E+00,4,GRAP2
HIPK21,0.00E+00,1.0256878,0.967,0.501,0.00E+00,4,HIPK2
TGFB11,0.00E+00,1.0221655,0.985,0.693,0.00E+00,4,TGFB1
CDKN2D1,0.00E+00,1.0209248,0.885,0.323,0.00E+00,4,CDKN2D
CD471,0.00E+00,1.0209089,0.956,0.565,0.00E+00,4,CD47
RGS181,0.00E+00,1.004194,0.897,0.255,0.00E+00,4,RGS18
FLNA1,0.00E+00,1.0041513,0.978,0.645,0.00E+00,4,FLNA
SRGN1,0.00E+00,1.0031451,0.963,0.384,0.00E+00,4,SRGN
RUFY11,0.00E+00,1.0017055,0.923,0.382,0.00E+00,4,RUFY1
TMEM40,0.00E+00,0.9860937,0.706,0.136,0.00E+00,4,TMEM40
HCST1,0.00E+00,0.960943,0.902,0.415,0.00E+00,4,HCST
FHL1,0.00E+00,0.9466035,0.618,0.117,0.00E+00,4,FHL1
MPIG6B1,0.00E+00,0.9389998,0.82,0.186,0.00E+00,4,MPIG6B
SLC37A11,0.00E+00,0.9301251,0.922,0.316,0.00E+00,4,SLC37A1
CCND31,0.00E+00,0.9263685,0.992,0.729,0.00E+00,4,CCND3
MDM11,0.00E+00,0.9240883,0.836,0.255,0.00E+00,4,MDM1
C2orf881,0.00E+00,0.9229402,0.972,0.499,0.00E+00,4,C2orf88
MTURN1,0.00E+00,0.8866989,0.911,0.331,0.00E+00,4,MTURN
GFI1B1,0.00E+00,0.8791746,0.951,0.423,0.00E+00,4,GFI1B
DIAPH11,0.00E+00,0.8775333,0.944,0.499,0.00E+00,4,DIAPH1
MAPRE21,0.00E+00,0.8685116,0.904,0.356,0.00E+00,4,MAPRE2
PDLIM11,0.00E+00,0.8478077,0.997,0.8,0.00E+00,4,PDLIM1
GP1BA,0.00E+00,0.8410889,0.799,0.175,0.00E+00,4,GP1BA
TPST21,0.00E+00,0.8406568,0.966,0.567,0.00E+00,4,TPST2
LIMD21,0.00E+00,0.8397541,0.99,0.72,0.00E+00,4,LIMD2
MPP11,0.00E+00,0.8332982,0.97,0.561,0.00E+00,4,MPP1
BMP2K1,0.00E+00,0.8320038,0.966,0.563,0.00E+00,4,BMP2K
HEXIM11,0.00E+00,0.8256354,0.939,0.432,0.00E+00,4,HEXIM1
SLC30A51,0.00E+00,0.8246922,0.927,0.473,0.00E+00,4,SLC30A5
KIF2A1,0.00E+00,0.8065753,0.935,0.498,0.00E+00,4,KIF2A
NT5C3A1,0.00E+00,0.7985035,0.937,0.486,0.00E+00,4,NT5C3A
PDLIM51,0.00E+00,0.7836411,0.942,0.52,0.00E+00,4,PDLIM5
C19orf33,0.00E+00,0.7802986,0.496,0.084,0.00E+00,4,C19orf33
CNST,0.00E+00,0.7711125,0.885,0.279,0.00E+00,4,CNST
PDE5A1,0.00E+00,0.7679432,0.768,0.173,0.00E+00,4,PDE5A
LRP12,0.00E+00,0.7673394,0.847,0.221,0.00E+00,4,LRP12
P2RX1,0.00E+00,0.7668597,0.85,0.239,0.00E+00,4,P2RX1
DAPP11,0.00E+00,0.7637683,0.813,0.17,0.00E+00,4,DAPP1
ATP2C1,0.00E+00,0.757946,0.878,0.394,0.00E+00,4,ATP2C1
ARHGAP181,0.00E+00,0.7568194,0.937,0.419,0.00E+00,4,ARHGAP18
SMIM3,0.00E+00,0.7469083,0.789,0.22,0.00E+00,4,SMIM3
FUT8,0.00E+00,0.7452026,0.884,0.344,0.00E+00,4,FUT8
CD84,0.00E+00,0.7400424,0.778,0.224,0.00E+00,4,CD84
ARHGAP21,0.00E+00,0.7321215,0.814,0.304,0.00E+00,4,ARHGAP21
LCN21,0.00E+00,0.7240008,0.693,0.12,0.00E+00,4,LCN2
LY6G6F.LY6G6D1,0.00E+00,0.7166042,0.857,0.236,0.00E+00,4,LY6G6F.LY6G6D
DNM3,0.00E+00,0.7121307,0.762,0.127,0.00E+00,4,DNM3
OAZ11,0.00E+00,0.7120345,1,0.95,0.00E+00,4,OAZ1
PSTPIP21,0.00E+00,0.7118599,0.926,0.425,0.00E+00,4,PSTPIP2
DMTN1,0.00E+00,0.694887,0.876,0.301,0.00E+00,4,DMTN
CFAP161,0.00E+00,0.6800633,0.578,0.104,0.00E+00,4,CFAP161
DOK2,0.00E+00,0.6740792,0.781,0.174,0.00E+00,4,DOK2
TSPAN32,0.00E+00,0.6650887,0.875,0.368,0.00E+00,4,TSPAN32
F2RL3,0.00E+00,0.6641243,0.789,0.157,0.00E+00,4,F2RL3
ANO61,0.00E+00,0.6480238,0.84,0.321,0.00E+00,4,ANO6
ABCC3,0.00E+00,0.6463021,0.556,0.07,0.00E+00,4,ABCC3
PRICKLE11,0.00E+00,0.6412814,0.825,0.274,0.00E+00,4,PRICKLE1
UNC13D1,0.00E+00,0.6260363,0.824,0.288,0.00E+00,4,UNC13D
H3F3A1,0.00E+00,0.6248188,1,0.987,0.00E+00,4,H3F3A
ITGB3,0.00E+00,0.620323,0.751,0.119,0.00E+00,4,ITGB3
COL24A11,0.00E+00,0.6123357,0.698,0.143,0.00E+00,4,COL24A1
GUCY1B1,0.00E+00,0.6059487,0.694,0.141,0.00E+00,4,GUCY1B1
TSPOAP1.AS1,0.00E+00,0.6049317,0.724,0.18,0.00E+00,4,TSPOAP1.AS1
CD226,0.00E+00,0.6000809,0.679,0.147,0.00E+00,4,CD226
PTCRA,0.00E+00,0.5879859,0.479,0.046,0.00E+00,4,PTCRA
TSPAN33,0.00E+00,0.5604743,0.68,0.16,0.00E+00,4,TSPAN33
TREML1,0.00E+00,0.5587722,0.489,0.081,0.00E+00,4,TREML1
KALRN,0.00E+00,0.5580099,0.772,0.221,0.00E+00,4,KALRN
ASAP2,0.00E+00,0.546848,0.713,0.209,0.00E+00,4,ASAP2
FUT8.AS1,0.00E+00,0.5434351,0.572,0.066,0.00E+00,4,FUT8.AS1
DGKD,0.00E+00,0.5397168,0.702,0.196,0.00E+00,4,DGKD
UBASH3B,0.00E+00,0.5268283,0.694,0.195,0.00E+00,4,UBASH3B
TBXAS1,0.00E+00,0.5254392,0.734,0.191,0.00E+00,4,TBXAS1
AC147651.1,0.00E+00,0.5099558,0.461,0.058,0.00E+00,4,AC147651.1
EHD3,0.00E+00,0.5023111,0.659,0.169,0.00E+00,4,EHD3
TRIM58,0.00E+00,0.4828068,0.692,0.19,0.00E+00,4,TRIM58
SPX,0.00E+00,0.480002,0.62,0.118,0.00E+00,4,SPX
MED12L,0.00E+00,0.4692915,0.645,0.147,0.00E+00,4,MED12L
ADCY6,0.00E+00,0.4595074,0.617,0.132,0.00E+00,4,ADCY6
MFAP3L,0.00E+00,0.4400074,0.598,0.122,0.00E+00,4,MFAP3L
PDE3A,0.00E+00,0.4203402,0.622,0.127,0.00E+00,4,PDE3A
GNAZ,0.00E+00,0.4153455,0.44,0.045,0.00E+00,4,GNAZ
GP6,0.00E+00,0.4052145,0.496,0.065,0.00E+00,4,GP6
AC000093.1,0.00E+00,0.3711598,0.535,0.099,0.00E+00,4,AC000093.1
ABLIM3,0.00E+00,0.3548639,0.363,0.035,0.00E+00,4,ABLIM3
RGS6,0.00E+00,0.344569,0.531,0.094,0.00E+00,4,RGS6
SLC9A9,0.00E+00,0.3407867,0.516,0.087,0.00E+00,4,SLC9A9
STX11,0.00E+00,0.3356371,0.474,0.055,0.00E+00,4,STX11
HPSE,0.00E+00,0.328721,0.453,0.068,0.00E+00,4,HPSE
MYOM1,0.00E+00,0.323104,0.392,0.04,0.00E+00,4,MYOM1
AL451069.1,0.00E+00,0.2751227,0.39,0.045,0.00E+00,4,AL451069.1
RABGAP1L1,1.30E-306,0.6759911,0.681,0.19,2.91E-302,4,RABGAP1L
LIPH,5.75E-306,0.3299289,0.292,0.021,1.29E-301,4,LIPH
CXCL21,7.76E-305,0.6621454,0.791,0.259,1.74E-300,4,CXCL2
F13A1,1.38E-303,0.4489492,0.331,0.031,3.08E-299,4,F13A1
PDE8B,4.14E-303,0.2879175,0.392,0.048,9.28E-299,4,PDE8B
BDNF,1.36E-302,0.4524208,0.526,0.096,3.05E-298,4,BDNF
PTPRJ,1.98E-299,0.4285526,0.509,0.097,4.43E-295,4,PTPRJ
TUBA4A1,9.33E-299,0.8835499,0.748,0.24,2.09E-294,4,TUBA4A
ACTN11,1.89E-296,0.8451747,0.955,0.58,4.23E-292,4,ACTN1
TAGLN21,9.80E-296,0.7955144,0.996,0.832,2.19E-291,4,TAGLN2
DAAM11,1.39E-294,0.9702865,0.908,0.524,3.11E-290,4,DAAM1
MYL12A2,3.44E-294,0.8715158,1,0.917,7.71E-290,4,MYL12A
GATA12,7.37E-293,0.7249039,0.967,0.481,1.65E-288,4,GATA1
TMEM91,1.94E-290,0.757661,0.763,0.285,4.33E-286,4,TMEM91
PTGS1,7.93E-290,0.5339319,0.76,0.274,1.77E-285,4,PTGS1
NFE22,1.12E-288,0.6910604,0.98,0.561,2.51E-284,4,NFE2
PRKCB,1.16E-287,0.6962454,0.801,0.323,2.60E-283,4,PRKCB
PBX11,1.77E-287,0.7412858,0.956,0.568,3.95E-283,4,PBX1
LYL11,1.09E-286,0.7253621,0.99,0.746,2.45E-282,4,LYL1
GCSAML,2.22E-285,0.5635847,0.676,0.203,4.98E-281,4,GCSAML
FYN1,9.29E-285,0.6731735,0.916,0.499,2.08E-280,4,FYN
YWHAZ,8.07E-284,0.7827022,0.994,0.836,1.81E-279,4,YWHAZ
LAT1,1.29E-283,0.6399443,0.598,0.148,2.88E-279,4,LAT
TAL11,5.55E-283,0.6515134,0.926,0.513,1.24E-278,4,TAL1
ITGA2,1.57E-282,0.2920833,0.355,0.042,3.51E-278,4,ITGA2
CD691,3.26E-278,0.5547747,0.61,0.154,7.30E-274,4,CD69
MAFG1,8.52E-278,0.6705673,0.937,0.561,1.91E-273,4,MAFG
MEIS1,2.32E-276,0.5385822,0.82,0.341,5.19E-272,4,MEIS1
ABCC41,4.91E-276,0.5688067,0.844,0.368,1.10E-271,4,ABCC4
P2RY1,7.54E-276,0.4324637,0.673,0.202,1.69E-271,4,P2RY1
HBQ12,9.81E-275,0.7192731,0.91,0.392,2.20E-270,4,HBQ1
SLC2A3,1.46E-273,0.736615,0.923,0.495,3.27E-269,4,SLC2A3
MRVI1,1.92E-272,0.4027696,0.448,0.079,4.29E-268,4,MRVI1
PPBP1,1.33E-271,2.6000364,0.933,0.627,2.97E-267,4,PPBP
MINDY2,4.18E-270,0.7117051,0.857,0.426,9.35E-266,4,MINDY2
LRRFIP21,8.02E-270,0.627083,0.893,0.493,1.80E-265,4,LRRFIP2
ZFP36,4.07E-269,0.7103139,0.893,0.438,9.11E-265,4,ZFP36
ADRA2A,2.36E-267,0.6060267,0.618,0.171,5.27E-263,4,ADRA2A
BCL2L1,6.83E-265,0.6087726,0.88,0.453,1.53E-260,4,BCL2L1
LAMTOR11,3.41E-260,0.6844679,0.987,0.85,7.64E-256,4,LAMTOR1
SWT11,4.75E-260,0.4448492,0.613,0.163,1.06E-255,4,SWT1
ELF11,3.45E-256,0.6341581,0.956,0.586,7.73E-252,4,ELF1
