,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
DDX5,4.79E-74,0.3629025,0.816,0.873,1.07E-69,2,DDX5
LPP,1.02E-73,0.3825615,0.498,0.301,2.29E-69,2,LPP
CSRP1,3.29E-73,0.4930966,0.631,0.481,7.37E-69,2,CSRP1
SAT2,5.49E-73,0.4778637,0.606,0.448,1.23E-68,2,SAT2
COX6C,1.36E-72,0.3118044,0.896,0.943,3.05E-68,2,COX6C
PLEKHA1,2.37E-72,0.3042331,0.388,0.188,5.31E-68,2,PLEKHA1
PKIG,3.04E-72,0.5230099,0.618,0.474,6.81E-68,2,PKIG
TUBA1A,1.28E-71,0.5979094,0.752,0.646,2.88E-67,2,TUBA1A
RBPMS,1.53E-71,0.3585517,0.555,0.34,3.41E-67,2,RBPMS
PHLDA1,1.52E-70,0.3548856,0.462,0.249,3.41E-66,2,PHLDA1
CD151,2.69E-70,0.4413503,0.576,0.395,6.03E-66,2,CD151
AP2A2,4.18E-70,0.3563388,0.455,0.259,9.35E-66,2,AP2A2
CYBA,5.49E-70,0.5334199,0.793,0.74,1.23E-65,2,CYBA
IKBIP,6.53E-70,0.3836936,0.538,0.353,1.46E-65,2,IKBIP
SMURF2,7.74E-70,0.3191604,0.396,0.203,1.73E-65,2,SMURF2
FNBP1,9.23E-70,0.4136379,0.495,0.301,2.06E-65,2,FNBP1
FNDC3B,1.62E-69,0.3178531,0.429,0.221,3.63E-65,2,FNDC3B
CTNNB1,2.62E-69,0.5975048,0.713,0.602,5.86E-65,2,CTNNB1
LAMP1,1.11E-68,0.5916353,0.656,0.591,2.49E-64,2,LAMP1
POLR2L,1.25E-68,0.3636702,0.891,0.932,2.80E-64,2,POLR2L
C12orf57,1.69E-68,0.4362379,0.812,0.823,3.78E-64,2,C12orf57
ELOB,6.37E-68,0.2805678,0.892,0.941,1.43E-63,2,ELOB
AFDN,1.08E-67,0.4538564,0.619,0.485,2.42E-63,2,AFDN
COL15A1,2.48E-67,0.3802611,0.223,0.071,5.55E-63,2,COL15A1
WSB1,4.65E-67,0.7196119,0.679,0.655,1.04E-62,2,WSB1
ZMAT3,8.15E-67,0.3361554,0.407,0.216,1.82E-62,2,ZMAT3
KIAA0355,8.97E-67,0.2647612,0.359,0.168,2.01E-62,2,KIAA0355
GSTP1,1.56E-66,0.2813031,0.959,0.972,3.49E-62,2,GSTP1
PHPT1,1.40E-65,0.4617953,0.826,0.882,3.13E-61,2,PHPT1
FAR2,7.21E-65,0.3775258,0.417,0.228,1.61E-60,2,FAR2
DLC1,8.57E-65,0.3317874,0.412,0.219,1.92E-60,2,DLC1
TRIOBP,1.30E-64,0.3925286,0.551,0.381,2.90E-60,2,TRIOBP
MYL12A1,2.14E-64,0.3104588,0.896,0.93,4.80E-60,2,MYL12A
ARMCX3,4.15E-64,0.500433,0.59,0.471,9.28E-60,2,ARMCX3
NAXE,9.68E-64,0.5682202,0.688,0.651,2.17E-59,2,NAXE
RAC1,9.83E-64,0.3249843,0.874,0.922,2.20E-59,2,RAC1
FARP1,1.06E-63,0.2536924,0.32,0.131,2.37E-59,2,FARP1
COPS9,1.35E-63,0.4146579,0.797,0.862,3.02E-59,2,COPS9
BAX,1.47E-63,0.4444732,0.801,0.848,3.28E-59,2,BAX
HEBP1,1.89E-63,0.3268052,0.483,0.295,4.24E-59,2,HEBP1
BLCAP,2.67E-63,0.3542869,0.504,0.333,5.98E-59,2,BLCAP
RAB13,4.26E-63,0.5495925,0.746,0.765,9.52E-59,2,RAB13
DAPK3,6.46E-63,0.3580702,0.429,0.242,1.45E-58,2,DAPK3
NDUFC2,9.34E-63,0.4613318,0.795,0.843,2.09E-58,2,NDUFC2
F2R1,1.06E-62,0.4289679,0.693,0.552,2.37E-58,2,F2R
PHLDA3,3.41E-62,0.3440704,0.392,0.201,7.62E-58,2,PHLDA3
SERPINB6,9.24E-62,0.6165927,0.742,0.749,2.07E-57,2,SERPINB6
ABLIM1,1.29E-61,0.273177,0.367,0.176,2.89E-57,2,ABLIM1
IFITM21,1.97E-61,0.440956,0.818,0.777,4.41E-57,2,IFITM2
FAM89A,2.65E-61,0.275327,0.401,0.217,5.94E-57,2,FAM89A
MAPK3,5.36E-61,0.3265111,0.467,0.284,1.20E-56,2,MAPK3
ANXA5,1.15E-60,0.465561,0.642,0.521,2.57E-56,2,ANXA5
ABL2,2.32E-60,0.3202407,0.404,0.231,5.19E-56,2,ABL2
