genes
CD300A
LGALS9
ADGRE2
PIK3CD
LTC4S
CTSG
STAT5A
MITF
SRGN
FCGR1A
FGR
MS4A3
HRH2
IRF8
FFAR2
S100A12
CSF3R
MYB
HBG2
HBA1
HBA2
HBE1
HBG1
GYPA
LYZ
MPO
