genes
ITGB2
SPN
PTPRC
HCK
CD44
SPI1
FNDC3B
LYZ
FCGR1A
IKZF1
LTC4S
LGALS9
CD300A
CD48
PIK3CD
FGR
MS4A3
HRH2
IRF8
CTSG
FFAR2
S100A12
MYB
B2M
IL3RA
CSF1R
CSF3R
LYZ
MPO
