Myeloid.progenitor
LMO4
MYB
B2M
IL3RA
CSF1R
CSF3R
LYZ
MPO
GYPA
KLF1
GYPB
EPOR
HBD
HBG2
HBA1
HBA2
HBE1
HBG1
ITGA2B
CD47
BCL2L1
GP9
GP1BA
ITGB3
HEMGN
