EMP
KLF1
GYPA
GYPB
EPOR
EFNB2
ITGA2B
CD47
BCL2L1
GP9
GP1BA
ITGB3
HBD
HBG2
HBA1
HBA2
HBE1
HBG1
ITGA6
HEMGN
TFRC
