genes
PECAM1
ITGB3
GATA1
TAL1
LYL1
GFI1B
NFE2
PBX1
MEIS1
SPN
PTPRC
STAT5B
SRGN
MAPK14
MITF
FCER1G
SYK
LAT
ZFPM1
GYPA
KLF1
EPOR
HBD
HBG2
HBA1
HBA2
HBE1
HBG1
ITGA2B
CD47
BCL2L1
GP9
GP1BA
ITGB3
HEMGN
