Activation_MCs
FCER1G
SYK
LAT
PLSCR1
LGALS9
FES
CD300A
ADGRE2
PIK3CG
PIK3CD
FGR
MILR1
CD48
S100A12
PTGDR2
CPA3
FCER1A
C5AR1
ZFPM1
IKZF1
LTC4S
NR3C1
KIT
MS4A3
IRF8
HRH2
CTSG
FFAR2
