DE_MCs,,
GATA2,,
STAT5A,,
STAT5B,,
SRGN,,
MAPK14,,
MITF,,
ITGB2,,
FCER1G,,
SYK,,
LAT,,
ZFPM1,,
KIT,,
ADGRE2,,
FES,,
IKZF1,,
LTC4S,,
LGALS9,,
CD300A,,
CD48,,
PIK3CD,,
FGR,,
MS4A3,,
HRH2,,
IRF8,,
CTSG,,
FFAR2,,
S100A12,,
,,
